customer_id,credit_lines_outstanding,loan_amount_o,total_debt_o,income,years_employed,kkb_score,default
1803258,0,5221.545193,3915.471226,78039.38546,5,896,0
7965603,5,1958.928726,8228.75252,26648.43525,2,951,1
6891143,0,3363.009259,2027.83085,65866.71246,4,280,0
4949905,0,4766.648001,2501.730397,74356.88347,5,723,0
4897136,1,1345.827718,1768.826187,23448.32631,6,1494,0
8727380,0,5376.886873,7189.121298,85529.84591,2,1192,0
1773510,1,3634.057471,7085.980095,68691.57707,6,133,0
7276311,4,3302.172238,13067.57021,50352.16821,3,872,1
2813225,0,2938.325123,1918.404472,53497.37754,5,1574,0
1847596,0,5396.366774,5298.824524,92349.55399,2,1095,0
5738310,5,4224.542337,18858.28272,76975.03318,7,1243,1
9780600,1,5470.06369,10357.63606,98688.26823,5,1837,0
7621770,1,3440.842174,7009.017521,49413.51814,3,23,0
7850256,1,4799.604414,7321.171391,81534.51708,5,1797,0
7457294,0,2909.447925,2713.013317,62340.39145,2,828,0
8074577,0,3281.568882,6447.096241,63042.43756,3,1586,0
5619038,0,5579.715349,1755.76098,83490.03355,3,67,0
2153022,1,4407.471929,8331.603288,54527.70813,3,543,0
8557733,4,2761.049506,16620.80342,52428.52206,4,79,1
5053472,0,4461.847138,6965.056642,98149.74308,6,186,0
5503166,2,3477.433899,8389.081942,70760.64317,8,434,0
4337181,4,2608.798997,11177.43742,39682.19883,1,878,1
2642946,1,5138.918794,11566.29898,101268.5826,5,1174,0
9340883,2,4199.164596,9607.021343,62160.28338,6,875,0
8034106,0,3334.584216,2992.09521,68928.27308,5,1093,0
6794785,1,3079.55134,4606.951938,54592.43358,7,1085,0
4621728,0,3040.960977,4404.918315,47012.43037,2,1215,0
8404853,0,2212.887987,610.7649879,42642.15937,4,1708,0
5908861,0,3285.841537,4459.926443,66382.17214,4,924,0
4990727,0,3258.508608,3982.097842,72023.81125,2,43,0
5054135,1,3438.165737,6899.967887,95771.69288,7,1772,0
3045148,2,4929.427201,10002.59086,65532.66639,4,1622,0
1829223,5,3507.902474,19990.89793,69486.70311,4,494,1
5991262,3,5527.944216,14795.18286,78210.76357,4,1400,0
8991007,1,3044.751919,4972.39513,53714.70992,6,991,0
1574355,0,2979.485594,5964.402963,60680.19975,4,974,0
8724620,0,1598.115491,2106.924814,26071.77675,4,990,0
8448679,5,5691.710738,25802.3152,85075.45006,4,558,1
3490836,0,6122.534809,3308.52031,86757.74902,4,1339,0
6684978,5,4296.127286,22541.026,74379.07589,2,1426,1
2487061,1,5713.466421,9572.714973,89956.31788,5,316,0
7822788,2,3196.367779,12285.43342,92085.61348,7,1675,0
7304705,0,5044.106619,5378.621481,91383.46571,4,846,0
4190733,0,3712.750866,3748.47485,58773.4523,6,1636,0
1611279,5,3308.441678,18042.03529,60513.88204,4,1335,1
9736281,2,3056.005959,8496.600307,76750.28031,8,1480,0
5011186,3,4806.864262,14702.98825,87593.08538,5,27,0
9038089,0,4392.816559,5063.187358,55462.63115,4,427,0
7101270,0,3019.475375,446.3892355,44638.92355,3,1739,0
8005450,0,4470.490457,2387.751259,66307.55718,4,489,0
7839094,1,4357.308441,10823.44917,89452.65138,6,488,0
2751748,0,2904.436456,3806.284655,45019.50894,4,1017,0
4275153,1,1888.053856,4179.967159,36004.06641,5,124,0
5200488,4,3167.933042,11269.54487,53739.73516,7,1081,0
5480123,0,2647.608576,3633.448864,69427.6089,6,1216,0
1394233,0,2264.648869,2138.377198,30248.31246,3,1167,0
5919124,3,2673.54163,7233.006733,46791.58228,7,395,0
2388605,5,3848.509319,18052.44355,60919.57161,3,969,1
7690382,5,4604.738825,24614.66577,78697.94413,5,290,1
7147439,0,3372.376095,3405.489888,55026.27562,3,472,0
9302749,1,4689.997284,7454.473944,89940.20848,8,1854,0
7702858,0,2813.780246,1909.867606,47804.87496,6,977,0
4299783,0,3369.099325,3477.305329,51756.93553,3,580,0
9707586,1,3179.923385,6909.539007,77842.18685,6,1206,0
4697652,0,4294.47539,7237.49265,70514.35871,3,415,0
3932427,0,6148.494512,843.3674406,84336.74406,5,610,0
9149820,0,5204.224599,5528.201971,106426.3955,4,1610,0
4334136,1,5423.942645,8524.640887,99150.69003,7,1088,0
1687088,0,5259.363393,885.0746882,88507.46882,5,243,0
5226001,5,3280.272295,18732.54767,67417.22083,3,833,1
8161118,0,3691.985766,5641.919221,75507.14829,4,1486,0
2705242,1,2800.316359,4540.64595,43040.16541,3,98,0
5166464,1,1645.741726,3344.06227,37660.8669,7,210,0
2169293,1,5137.219376,8042.606207,79741.33151,6,808,0
7178303,5,4455.723618,21759.58907,68241.17866,4,1711,1
5281343,4,4611.226168,25172.40934,87306.38652,5,1257,1
3971766,2,2228.164899,7430.4677,61714.77493,8,953,0
3042183,5,4477.721762,25525.87565,63190.6675,3,693,1
6080498,1,6114.066639,10454.60074,90441.83333,5,1184,0
7028325,2,3682.300399,13665.47622,81215.98749,5,1081,0
9462753,1,2305.03445,4681.362495,54885.43693,8,1664,0
4934366,0,3270.453879,570.8356554,57083.56554,5,154,0
2446193,0,3157.845091,2359.788951,49538.62055,4,1202,0
8494102,0,6547.709898,4572.87505,104214.0756,5,471,0
6667878,5,5227.129372,30897.38167,83840.58872,4,1123,1
7302385,2,2042.535985,5779.605547,36313.79378,6,552,0
1875039,1,3509.853269,9434.868921,75551.558,4,1191,0
3811299,0,4911.323807,6452.905939,72112.66078,4,66,0
7910594,0,1875.113047,2365.397903,29565.60654,2,1434,0
8490337,5,4118.251907,19388.55381,72001.48849,3,1490,1
4916949,0,7042.304481,4137.426549,85413.0674,5,1200,0
8242878,3,2722.706729,8732.939038,48632.57113,7,894,0
8575225,0,4945.33944,2570.333551,85901.95454,3,282,0
4487305,0,3003.766079,4053.095356,39932.25513,3,690,0
9082787,4,3906.630457,16227.27569,56732.91535,1,856,1
3594952,5,3840.418321,14994.26544,53794.32662,1,450,1
3156019,2,3670.92571,9596.22646,75718.62338,8,348,0
7142458,0,2038.609652,2984.174167,42878.6052,6,213,0
6730855,0,2914.249997,917.3111082,64879.74563,5,1484,0
2257772,1,3707.461716,4634.160556,57597.45492,5,741,0
8494629,5,4926.741674,18943.13978,72136.00622,4,688,1
2799173,1,4408.32239,6702.412553,79268.2046,5,696,0
8244091,5,5390.873161,30441.76235,91844.02459,2,570,1
1066260,3,6596.195494,16086.9749,91952.22747,4,1046,0
